,Date,Var95,Var99
0,2012-02-02,[-0.030104346614754526],[-0.04356676327265285]
1,2012-06-28,[-0.028267727091328024],[-0.039338299786382536]
2,2012-07-17,[-0.029639377168944075],[-0.04075750810284332]
3,2013-06-19,[-0.027076835551237098],[-0.03894520464662774]
4,2013-08-14,[-0.0250134817946455],[-0.03637550530568885]
5,2013-08-29,[-0.028661980797627953],[-0.04076299452824851]
6,2014-03-26,[-0.025175487534724532],[-0.03570353599996976]
7,2015-01-26,[-0.017073179283705997],[-0.024538791708079356]
8,2015-04-02,[-0.024654656691861492],[-0.03519651971293027]
9,2015-06-12,[-0.024488202632222057],[-0.03487966158470395]
10,2015-06-26,[-0.0222226779318512],[-0.03175056144207682]
11,2015-07-28,[-0.01676638586107058],[-0.02364780286025054]
12,2015-08-21,[-0.017364965308342327],[-0.024306667370782496]
13,2015-10-30,[-0.023724252183734983],[-0.03382897336386135]
14,2015-11-02,[-0.02403902793795261],[-0.03398550715461715]
15,2015-12-07,[-0.0259502469111325],[-0.036881425692222955]
16,2016-04-11,[-0.030890618136192864],[-0.043972182901787366]
17,2016-05-12,[-0.0294802586087211],[-0.041671704607499374]
18,2016-08-02,[-0.018238075405244122],[-0.026105523009971508]
19,2016-08-17,[-0.017724979148151437],[-0.02544474342074937]
20,2017-01-12,[-0.015847954392843158],[-0.02257696489786085]
21,2017-04-21,[-0.010803757746562122],[-0.015747751890904972]
22,2017-08-02,[-0.017188372467992707],[-0.024203382246269188]
23,2017-12-29,[-0.015764605260482022],[-0.022974312390049434]
24,2018-02-28,[-0.020245029445567327],[-0.029442750368846568]
25,2018-05-30,[-0.027571103394903953],[-0.03922496434582799]
26,2019-09-12,[-0.031662253888503696],[-0.04479876238924654]
27,2020-01-07,[-0.028835433342503873],[-0.04027844152556936]
28,2020-09-16,[-0.034300656539262085],[-0.0484285159268305]
29,2020-11-25,[-0.031396516862039967],[-0.04395774997334234]
30,2021-03-17,[-0.021216077765786514],[-0.031076309086277395]
31,2021-04-30,[-0.017953952446236907],[-0.026011763343424376]
32,2021-05-11,[-0.018378253839050146],[-0.026964068570887182]
